ratio	total
0.0	2411
0.1	706
0.2	230
0.3	82
0.4	65
0.5	75
0.6	7
0.7	14
0.8	3
0.9	2
1.0	81
1.1	1
1.2	2
1.3	2
1.4	3
1.5	7
1.7	1
1.8	1
2.0	9
2.5	3
2.6	1
3.0	5
4.0	1
4.3	1
9.0	1
